{'rocketMass': 20.008347201798376, 'burnOut': 3.0318961771107666, 'railLength': 5.366767647785012}
{'rocketMass': 19.868491040257794, 'burnOut': 4.208376494843162, 'railLength': 4.6839989670450555}
{'rocketMass': 20.135989957141533, 'burnOut': 3.806715415064825, 'railLength': 5.13998316224309}
{'rocketMass': 19.971391481265243, 'burnOut': 3.476905506103181, 'railLength': 4.750330224670434}
{'rocketMass': 20.073343579331063, 'burnOut': 3.6110998325633266, 'railLength': 4.805494160686089}
{'rocketMass': 20.22562069204278, 'burnOut': 3.8813016560142137, 'railLength': 4.995155834049197}
{'rocketMass': 19.961094608635875, 'burnOut': 3.8520701210022392, 'railLength': 5.093286049385885}
{'rocketMass': 20.211624418125783, 'burnOut': 4.515462131800648, 'railLength': 5.614833482664771}
{'rocketMass': 19.920025649349387, 'burnOut': 4.401484988812121, 'railLength': 4.631576329326545}
{'rocketMass': 20.042685209955962, 'burnOut': 4.644967735603474, 'railLength': 4.840182990387156}
Completed 10 iterations successfully. Total CPU time: 15.234375 s. Total wall time: 16.870558500289917 s
